Timestamp,R,IR,G
28/5/2025 14:44,201662,197749,341
28/5/2025 14:44,201654,197720,369
28/5/2025 14:44,201682,197740,325
28/5/2025 14:44,201732,197745,373
28/5/2025 14:44,201668,197719,402
28/5/2025 14:44,201743,197770,311
28/5/2025 14:44,201687,197779,353
28/5/2025 14:44,201690,197766,392
28/5/2025 14:44,201712,197779,390
28/5/2025 14:44,201725,197778,405
28/5/2025 14:44,201638,197797,328
28/5/2025 14:44,201760,197850,365
28/5/2025 14:44,201805,197765,355
28/5/2025 14:44,201795,197793,400
28/5/2025 14:44,201811,197864,392
28/5/2025 14:44,201798,197862,386
28/5/2025 14:44,201890,197862,395
28/5/2025 14:44,201989,197868,358
28/5/2025 14:44,201978,197885,361
28/5/2025 14:44,202032,197946,351
28/5/2025 14:44,202022,197943,372
28/5/2025 14:44,202159,197955,359
28/5/2025 14:44,202142,197991,386
28/5/2025 14:44,202147,198008,321
28/5/2025 14:44,202260,198001,332
28/5/2025 14:44,202301,198055,376
28/5/2025 14:44,202306,198019,387
28/5/2025 14:44,202254,198026,383
28/5/2025 14:44,202112,197950,389
28/5/2025 14:44,202017,197931,318
28/5/2025 14:44,201540,197690,394
28/5/2025 14:44,201199,197614,382
28/5/2025 14:44,200820,197451,403
28/5/2025 14:44,200452,197268,439
28/5/2025 14:44,200273,197192,326
28/5/2025 14:44,200151,197190,361
28/5/2025 14:44,200094,197227,389
28/5/2025 14:44,200157,197171,353
28/5/2025 14:44,200133,197178,377
28/5/2025 14:44,200164,197251,358
28/5/2025 14:44,200305,197259,342
28/5/2025 14:44,200279,197244,426
28/5/2025 14:44,200411,197346,388
28/5/2025 14:44,200554,197386,420
28/5/2025 14:44,200532,197388,375
28/5/2025 14:44,200600,197376,363
28/5/2025 14:44,200551,197368,424
28/5/2025 14:44,200573,197410,343
28/5/2025 14:44,200659,197426,370
28/5/2025 14:44,200621,197343,403
28/5/2025 14:44,200756,197421,378
28/5/2025 14:44,200775,197443,378
28/5/2025 14:44,200834,197466,318
28/5/2025 14:44,200893,197450,358
28/5/2025 14:44,200962,197486,459
28/5/2025 14:44,200990,197571,333
28/5/2025 14:44,201049,197508,325
28/5/2025 14:44,201041,197527,379
28/5/2025 14:44,201097,197513,409
28/5/2025 14:44,201000,197569,388
28/5/2025 14:44,200956,197488,346
28/5/2025 14:44,201003,197522,372
28/5/2025 14:44,200948,197491,413
28/5/2025 14:44,200829,197560,395
28/5/2025 14:44,200862,197494,393
28/5/2025 14:44,200847,197487,411
28/5/2025 14:44,200853,197511,406
28/5/2025 14:44,200816,197463,412
28/5/2025 14:44,200865,197453,345
28/5/2025 14:44,200867,197444,351
28/5/2025 14:44,200875,197528,395
